protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
Apcs	0.01	0.01	0.01	0.01	0.01	0.42	0.59	0.01	9.44	3.57	4.08	5.18	2.16	1.99	8.64	2.82
Stat1	9.53	0.12	0.01	0.01	0.01	0.01	0.01	0.01	91.06	69.01	88.96	54.24	79.67	64.77	68.6	91.21
Tor1aip1	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.39	0.09	0.92	0.68	0.67	0.76	0.69	0.84
Ube2l6	0.01	0.01	0.01	0.01	0.01	0.01	0.15	0.2	4.22	11.44	2.57	5.25	3.76	2.88	4.23	3.36
Serpina3n	0.01	0.01	0.01	0.01	0.16	0.1	0.01	0.01	6.74	4.34	1.43	4.81	4.65	1.37	4.09	1.8
Cfb	0.03	0.01	0.01	0.01	0.06	0.01	0.01	0.01	4.98	5.58	4.41	7.17	5.52	3.21	5.56	1.91
Npl	0.01	0.36	0.01	0.01	0.5	0.23	0.01	0.01	0.32	0.78	0.69	0.72	0.33	0.92	0.01	0.57
Rras	0.01	0.11	0.01	0.08	0.1	0.01	0.01	0.01	0.2	0.23	0.23	0.18	0.01	0.19	0.19	0.18
Zc3h15	0.01	0.01	0.09	0.01	0.01	0.34	0.01	0.49	0.23	0.67	0.36	0.83	0.01	1.62	0.17	0.5
Esyt1	0.01	0.03	0.01	0.01	0.13	0.01	0.01	0.04	0.19	0.08	0.22	0.01	0.18	0.22	0.11	0.12
Astn2	0.01	0.01	0.01	0.01	0.01	0.03	0.04	0.03	0.02	0.09	0.04	0.01	0.1	0.18	0.11	0.06
Daxx	0.01	0.01	0.21	0.01	0.01	0.01	0.1	0.02	0.32	0.17	0.01	0.11	0.44	0.08	0.46	0.5
Casc4	0.01	0.36	0.9	0.01	0.01	0.01	0.01	0.43	0.28	0.92	0.38	0.24	0.35	0.78	0.97	0.75
Plp2	0.01	0.01	2.36	1.6	0.01	0.01	1.9	0.01	2.68	3.96	2.52	1.91	2.21	2.29	1.75	2.26
Islr	0.19	0.01	0.01	0.01	0.17	1.3	0.01	0.01	0.59	0.51	0.93	1.34	0.43	0.56	0.95	0.42
Afm	0.01	0.01	0.01	0.01	0.01	0.21	0.14	0.19	0.14	0.08	0.26	0.47	0.2	0.24	0.32	0.19
Ifit1bl2	0.01	0.01	0.01	0.01	1.49	2.82	2.29	0.01	4.74	3.45	3.72	0.79	2.73	2.21	2.88	3.37
Gja1	0.01	0.01	0.01	0.01	0.74	0.69	0.01	0.31	0.35	0.97	0.74	0.38	0.7	1.44	0.54	1.5
Slc17a6	0.04	0.01	0.22	0.01	0.01	1.01	0.01	0.01	0.97	0.5	0.48	0.6	0.67	0.79	1.29	0.53
Mdk	0.01	0.01	0.57	0.53	0.01	0.01	0.01	0.39	3.28	3.95	4.37	3.93	2.58	4.71	1.9	6.54
Serping1	0.13	0.09	0.11	0.01	0.01	0.01	0.01	0.01	0.94	0.89	1.38	1.46	1.84	1.17	2.46	0.82
Stat2	0.14	0.01	0.01	0.01	0.01	0.03	0.01	0.04	1.86	0.72	1.42	1.25	0.66	1.1	0.71	1.8
B2m	2.79	0.01	0.01	0.01	0.01	0.77	0.01	1.46	39.62	43.58	65.19	59.42	45.73	44.22	60.08	39.37
Ifitm3	1.18	0.01	0.01	2.03	0.01	0.01	0.01	2.07	40.01	44.46	87.03	60.57	59.11	65.11	129.83	46.66
Rnf213	0.02	0.01	0.01	0.01	0.01	0.01	0.06	0.01	5.37	3.3	5.35	1.83	3.19	2.21	2.68	3.66
Ogn	0.05	0.06	0.01	0.05	0.06	0.01	0.01	0.01	0.06	0.01	0.1	0.11	0.07	0.07	0.11	0.02
Bach1	0.01	0.01	0.01	0.03	0.05	0.01	0.05	0.05	0.06	0.05	0.06	0.04	0.03	0.03	0.03	0.04
Bgn	0.01	0.01	0.01	0.14	0.31	0.32	0.01	0.17	0.33	0.32	0.42	0.24	0.32	0.29	0.5	0.37
Lama4	0.01	0.16	0.03	0.05	0.01	0.01	0.01	0.07	0.16	0.09	0.14	0.03	0.05	0.27	0.12	0.09
Cul4a	0.01	0.01	0.01	0.01	0.07	0.1	0.08	0.29	0.29	0.15	0.35	0.09	0.13	0.3	0.13	0.25
Gmpr2	0.07	0.06	1.35	0.01	0.01	0.8	0.01	0.01	0.92	0.55	1.55	1.23	0.88	0.63	0.59	0.84
Polr2m	0.22	0.24	0.01	0.13	0.01	0.51	0.01	0.01	0.68	0.65	0.11	0.55	0.52	0.5	0.52	0.57
Dpm3	0.01	0.19	0.01	3.89	4.64	3.23	0.01	0.01	5.5	13.1	6.29	4.58	4.75	3.44	5.11	4.11
Ambp	0.01	0.01	0.48	0.62	0.01	0.26	0.01	0.75	1.25	2.38	0.59	2.16	0.89	1.84	2.24	1.31
Lamb2	0.01	0.05	0.01	0.03	0.01	0.01	0.06	0.03	0.31	0.06	0.23	0.01	0.08	0.14	0.12	0.08
Ctsl	0.01	0.01	0.58	0.01	2.29	0.01	0.36	1.4	0.62	3.2	3.18	12.65	4.61	4.81	2.84	0.38
Erbin	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.04	0.04	0.01	0.04	0.06	0.01
Ehd4	0.01	0.16	0.01	0.17	0.01	0.08	0.01	0.28	0.55	0.46	0.57	0.83	0.85	1.08	1.66	0.51
Gatm	0.01	0.06	0.01	0.01	0.01	0.08	0.07	0.09	0.25	0.4	0.44	0.3	0.53	0.25	0.39	0.32
Prkcd	0.07	0.08	0.09	0.01	0.06	0.01	0.01	0.01	0.23	0.26	0.32	0.6	0.31	0.33	0.46	0.78
Vtn	0.56	0.01	0.01	0.42	0.35	0.25	0.01	0.01	0.74	2.39	1.51	5.09	1.71	2.36	5.11	1.24
Grn	0.01	0.01	0.13	0.13	0.01	0.23	0.01	0.23	0.49	0.72	0.55	4.43	0.59	2.11	0.87	0.83
Pycard	0.12	0.01	0.07	0.01	0.12	0.07	0.01	0.01	2.67	4.77	2.7	4.34	1.61	3.17	3.29	1.97
Emc2	0.01	0.01	0.42	0.25	0.34	0.43	0.63	0.01	2.31	1.43	1.2	0.01	2.03	0.79	0.87	1.75
Rbm15	0.17	0.13	0.09	0.01	0.05	0.1	0.01	0.06	0.47	0.17	0.36	0.01	0.24	0.25	0.01	0.42
Peg3	0.01	0.01	0.14	0.09	0.01	0.1	0.06	0.06	0.12	0.11	0.08	0.12	0.1	0.2	0.16	0.09
Mettl14	0.01	0.14	0.01	0.15	0.16	0.08	0.01	0.14	0.26	0.24	0.15	0.14	0.2	0.14	0.23	0.21
Hint2	0.49	1	0.01	0.66	0.01	0.43	0.01	0.46	0.81	0.68	1.25	0.32	0.86	0.88	1.44	0.85
Mlst8	0.01	0.01	0.24	0.01	0.55	0.39	0.18	0.35	0.31	0.24	0.18	0.25	0.54	0.8	0.81	1.14
Nck2	0.01	0.21	0.34	0.01	0.77	0.58	0.01	0.25	0.89	0.53	0.99	0.64	0.97	0.46	0.58	0.7
Dnph1	0.15	0.31	0.01	0.28	0.01	0.43	0.01	0.23	0.61	0.19	0.72	0.5	0.33	0.74	0.46	0.36
Ilk	0.01	0.01	0.01	0.44	0.39	0.11	0.15	0.19	0.18	0.38	0.96	0.4	0.37	0.36	0.59	0.44
Glipr2	2.94	4.74	0.01	1.89	1.84	2.17	0.01	0.01	4.25	6.34	5.45	4.11	6.61	6.88	2.75	9.99
Lum	0.13	0.01	0.09	0.01	0.16	0.01	0.11	0.11	0.17	0.18	0.4	0.42	0.14	0.51	0.58	0.16
Cald1	0.01	0.53	0.01	1.42	0.32	0.26	0.01	0.72	1.75	2.01	2.17	2.42	1.75	1.87	1.97	1.29
Ss18l1	0.3	0.85	0.85	0.62	0.01	10.5	0.01	0.01	4.55	13.18	6.79	8.8	12.06	7.52	9.7	8.33
Naga	0.01	0.01	0.08	0.08	0.1	0.01	0.12	0.1	0.1	0.69	0.25	0.6	0.57	1.09	0.34	0.81
Iqgap2	0.03	0.01	0.01	0.03	0.01	0.03	0.01	0.01	0.01	0.03	0.33	0.11	0.14	0.1	0.15	0.04
Cnot3	0.19	0.29	0.43	0.38	0.01	0.18	0.01	0.2	0.52	0.41	0.31	0.75	0.48	0.51	0.43	0.35
Senp7	0.13	0.09	0.15	0.26	0.15	0.01	0.01	0.11	0.12	0.37	0.1	0.3	0.27	0.3	0.39	0.17
Rbms2	0.26	0.16	0.01	0.08	0.1	0.01	0.07	0.15	0.24	0.23	0.24	0.19	0.31	0.24	0.28	0.19
Itm2b	0.01	0.74	0.01	0.59	0.36	0.5	0.56	0.81	0.54	0.83	1.61	0.88	1.09	0.68	1.12	1.54
Apoa2	5.94	0.01	0.01	5.93	4.09	9.83	5.75	4.15	4.04	17.98	6.99	14.13	14.48	10.2	12	4.33
Itgam	0.18	0.27	0.63	0.01	0.33	0.05	0.01	0.68	0.37	0.59	0.33	1.29	0.75	0.58	0.3	1.01
Stom	0.01	0.58	0.27	0.01	0.74	0.28	0.74	0.28	0.79	0.56	0.53	0.45	1.54	0.78	2.23	0.52
M6pr	1.62	0.01	1.36	0.75	0.58	1.35	1.43	0.01	3.56	2.59	2.48	3.63	2.45	1.55	1.67	1.42
Cd151	0.83	1.37	0.35	0.6	0.01	1.57	0.01	0.34	1.78	1.49	0.96	4.1	1.12	1.78	1.68	1.13
Akr7a5	0.01	0.01	0.68	0.92	0.73	0.64	1.01	0.58	0.94	1.26	0.8	1.08	2.61	1.93	1.27	3.29
Sumf2	0.54	0.01	0.45	0.3	0.01	0.31	0.53	0.3	0.87	1.01	0.54	1.12	0.88	1.77	0.49	0.41
Slk	0.06	0.04	0.01	0.07	0.05	0.08	0.01	0.1	0.13	0.08	0.09	0.11	0.35	0.1	0.09	0.19
Guk1	1.98	0.53	1.36	0.49	2.52	1.23	0.01	0.01	3.8	5.87	3.75	2.69	1.16	3.34	1.82	2.37
Lyn	0.01	0.07	0.07	0.01	0.09	0.06	0.12	0.26	0.18	0.06	0.41	0.21	0.21	0.54	0.39	0.05
Dhdh	0.1	0.05	0.07	0.04	0.1	0.05	0.01	0.01	0.2	0.14	0.06	0.18	0.21	0.25	0.13	0.14
Nid1	0.08	0.05	0.01	0.01	0.03	0.01	0.04	0.33	0.26	0.37	0.31	0.06	0.64	0.4	0.46	0.47
Anxa1	0.01	0.73	0.11	0.01	0.85	0.3	0.17	0.42	2.01	0.9	1.56	1.55	2.99	1.54	3.09	1.77
Arhgdib	3.93	1.28	0.76	0.69	0.01	6.63	1.52	0.01	5.34	6.44	19.78	27.74	14.93	14.33	15.53	9.06
Ces1c	0.19	0.28	0.21	0.26	0.01	0.01	0.01	0.13	0.52	2.04	0.74	1.45	1.27	0.46	1.33	0.75
Serpinf2	0.22	0.05	0.7	0.19	0.01	0.01	0.58	0.72	1.94	6.8	1.62	3.44	4.11	1.49	2.97	1.51
Ifi35	0.18	0.1	0.1	0.01	0.15	0.01	0.11	0.07	1.19	2.8	1.62	3.24	2.93	2.76	1.67	3
Hpx	0.29	0.01	1	0.24	0.12	0.01	0.35	0.22	18.5	12.64	5.85	7.7	1.71	3.02	10.25	2
Pkp4	2.26	0.04	1.27	1.93	0.1	3.05	0.55	1.05	5.45	0.01	2.07	4.79	8.26	0.01	6.04	7.58
Vamp3	3.01	0.01	5.99	1.86	2.94	5.6	3.97	6.27	4.68	2.83	8.08	11.3	6.93	8.53	8.41	8.94
Polr2i	2.69	1.46	1.02	0.01	0.97	0.77	0.68	0.96	2.39	4.37	1.99	1.7	1.19	1.2	2.27	2.81
Meaf6	0.01	0.58	0.76	0.47	0.8	0.43	0.47	0.41	1.95	0.53	1.04	1.62	1.14	1.54	0.36	0.75
Pacsin2	0.43	0.59	0.41	0.39	0.26	0.01	0.46	0.66	1.03	0.39	1.42	0.86	0.97	1.01	0.78	0.9
As3mt	0.17	0.17	0.15	0.11	0.01	0.14	0.2	0.1	0.18	0.27	0.4	0.53	0.17	0.24	0.34	0.28
Hspg2	0.02	0.06	0.07	0.12	0.06	0.01	0.05	0.18	0.28	0.05	0.12	0.05	0.19	0.23	0.25	0.13
Pbxip1	0.11	0.05	0.18	0.2	0.02	0.13	0.01	0.01	0.15	0.29	0.17	0.32	0.33	0.05	0.04	0.31
Lamp1	3.38	2.78	0.01	3.32	3.73	1.87	5.72	4.07	2.43	7.04	6.85	12.25	9.65	9.99	11.97	6.73
Ptk7	0.01	0.39	0.05	0.34	0.2	0.24	0.14	0.17	0.7	0.67	0.47	0.45	0.5	0.54	0.99	0.38
Ddx60	0.02	0.01	0.02	0.03	0.03	0.01	0.03	0.02	0.07	0.04	0.15	0.04	0.06	0.06	0.06	0.05
Hepacam	0.33	0.11	0.7	0.07	0.67	0.79	0.01	0.08	0.76	0.92	0.69	1.67	1.47	1.73	1.62	0.55
Flnb	0.02	0.15	0.02	0.05	0.01	0.02	0.08	0.25	0.59	0.21	0.35	0.06	0.25	0.28	0.44	0.34
Rhog	0.62	1.22	0.34	0.76	0.58	0.56	0.01	0.53	2.82	2.25	1.8	3.26	3.22	3.77	2.72	1.84
Anxa4	0.42	0.01	0.32	0.2	0.23	0.18	0.38	0.53	0.97	1.66	2.05	1.63	1.12	1.77	1.6	1.07
Srcap	0.01	0.01	0.03	0.01	0.01	1.03	0.03	0.05	0.05	2.24	0.01	0.72	0.54	1.15	0.68	1.78
Rnf114	0.48	0.25	0.2	0.41	0.01	0.38	0.58	1.14	4.03	1.63	2.13	2.47	1.64	3.64	2.89	5.17
Bag3	0.01	0.02	0.03	0.12	0.03	0.14	0.03	0.04	0.26	0.72	0.29	1.55	0.44	0.65	1.04	0.25
Plg	0.01	0.21	0.3	0.22	0.37	0.16	0.23	0.42	5.21	7.66	3.19	4.44	5.57	4.33	4.35	3.71
Arsb	1.14	0.33	0.41	0.37	0.48	1.56	0.22	0.22	0.01	1.31	0.82	2.03	1.23	1.56	1.26	1.48
Chchd3	0.64	0.85	0.82	0.9	0.56	2.5	1.08	1.05	5.77	4.3	0.01	3.25	1.89	8.61	3.18	4.92
Ddrgk1	0.07	0.05	0.08	0.09	0.07	0.03	0.05	0.05	0.05	0.63	0.65	0.67	0.06	0.38	1.34	0.01
Zbtb14	0.03	0.08	0.05	0.09	0.09	0.42	0.07	0.06	3.04	0.04	0.01	2.18	0.07	3.54	0.06	2.27
Fbln1	2.1	0.37	0.76	1.17	1.41	0.88	1.15	1.43	2.55	1.89	2.91	2.94	2.4	2.07	2.48	1.36
Ahi1	0.52	0.2	0.37	0.48	0.85	0.3	0.76	0.46	0.57	1.05	0.58	0.63	0.76	1.61	1.57	1.11
Tnks1bp1	0.77	0.58	0.39	0.45	0.13	0.68	0.07	0.57	0.6	1.07	0.85	1.25	0.71	1.31	0.78	0.79
Cnp	1.17	0.99	1.06	2.29	1.66	3.05	1.04	1.12	0.72	2.06	2.39	4.57	5.21	2.75	4.79	3.39
Txn1	44.13	28.34	33.83	36.82	40.11	91.44	26.02	33.53	69.62	123.3	45.85	90.53	86.99	90.25	83.35	108.46
Itgb1	1.3	1.1	2.59	1.72	1.43	1.58	1.27	2.15	2.17	3.76	3.24	4	3.5	4	3.95	3
Cmtr1	0.82	1.49	1.46	0.38	0.33	0.08	1.54	2.51	3.62	1.25	3.48	0.59	3.57	1.96	1.4	2.35
Rbp1	8.99	4.07	4.48	5.66	6.57	4.82	5.47	4.96	21.17	15.91	22.65	7.76	5.69	8.82	5.56	8
Scpep1	0.4	0.41	0.26	0.21	0.33	0.18	0.23	0.83	1.18	0.2	0.61	0.74	0.53	1.22	1.49	0.21
Sdcbp	0.43	1.41	0.35	1.02	1.69	1.33	1.54	1.14	1.05	1.77	2.1	3.44	2.66	2.19	2.27	3.86
Serpinh1	4.52	4.98	2.58	1.89	1.35	2.21	3.63	6.54	4.54	5.8	9.86	5.86	8.09	9.88	8.13	8.41
Slc35f1	0.63	0.71	0.51	0.67	0.78	2.56	0.9	0.73	1.86	1.06	0.86	3.76	1.48	3.58	1.83	1.97
Ubxn4	0.38	0.34	0.5	0.23	0.27	0.29	0.36	0.26	1.04	1.13	0.31	0.43	0.36	0.55	1.02	0.95
Msn	11.02	10.94	9.63	14.52	14.16	11.68	16.04	7.19	21.99	19.22	27.89	29.87	25.79	30.51	30.8	24.77
Npc2	14.33	7.83	30.86	21.13	9.93	12.75	3.22	20.35	30.66	43.01	24.06	46.86	25.13	37.64	27.85	32.21
Ctsd	8.2	11.73	8.33	8.56	6.71	6.36	8.12	9.17	10.49	9.12	17.32	34.2	16.91	21.38	21.8	18.85
Col4a2	0.25	0.36	0.28	0.32	0.43	0.06	0.17	0.54	1.06	0.74	0.55	0.43	0.83	0.59	0.55	0.68
Apoa4	29.68	26.03	51.53	37.88	33.59	32.53	27.54	41.35	51.05	124.74	66.25	82.96	74.18	91.88	89.33	51.44
Itih2	2.16	1.34	2.1	1.86	1.87	2.6	1.22	2.13	2.12	4.5	3.68	5.27	4.71	4.62	7.35	2.34
Lrpap1	1.78	3.92	3.09	3.17	2.56	2.19	3.69	1.69	2.15	8.87	7.28	4.05	5.38	8.67	6.19	7.5
Rcn1	10.06	5.45	15.74	7.89	4.84	13.05	3.27	3.72	9.61	18.13	8.42	33.99	13	22.26	24.73	15.17
Adpgk	0.08	0.07	0.2	0.1	0.09	0.22	0.11	0.16	0.25	0.06	0.45	0.15	0.27	0.38	0.42	0.35
Ttc38	0.06	0.06	0.17	0.2	0.15	0.32	0.2	0.3	0.64	0.57	0.45	0.26	0.55	0.27	0.05	0.59
Efhd2	19.3	18.68	17.9	16.04	20.21	18.41	17.31	13.72	30.14	36.49	40.4	49.99	45.31	47.91	42.99	36.05
Pebp1	315.19	130.31	132.61	104.43	100.13	115	65.12	69.35	530.25	624.67	373.22	348.74	99.98	185.97	152.55	94.75
Srek1	0.48	0.6	0.36	0.57	0.62	0.33	0.47	0.39	0.72	1.23	0.63	0.52	2.04	1.15	1.85	0.83
Mcam	0.24	0.38	0.07	0.06	0.07	0.05	0.06	0.28	0.9	0.33	0.32	0.35	0.27	0.27	0.28	0.17
Lgals1	29.97	17.06	55.95	33.18	38.17	44.01	13.6	43.9	46	68.37	61.22	168.61	70.72	89.63	81.94	71.04
Nampt	3.16	3.5	1.72	2.8	3.87	0.79	3.45	2.68	9.31	2.68	8.21	5.38	7.63	6.26	7.91	5.39
Epb41	0.21	0.64	0.15	1.87	0.27	0.83	0.12	0.25	1.87	0.64	0.83	0.77	2.04	2.26	0.94	1.14
Sparc	2.39	2.61	2.7	2.52	1.63	1.71	0.71	4.2	4.78	4.38	2.79	10.9	5.99	7.02	7	2.24
Igfbp2	3.37	1.87	8.25	8.19	2.54	8.61	1.68	5.89	9.93	17.72	8.85	16.69	6.65	17.9	11.9	9.69
Tmod3	1.1	0.54	0.75	0.64	0.57	0.32	0.47	0.58	1	1.09	1.7	3.28	1.17	1.36	1.43	1.18
Magoh	2	8.69	7.34	3.18	2.52	1.31	2.63	3.38	12.81	8.4	21.25	2.77	18.02	5.63	6.34	2.28
Flna	0.99	1.51	0.68	1.29	1.22	0.96	1.61	1.81	3.72	2.25	4.41	2.61	2.93	2.07	3.84	3.51
Clic1	2.38	3.8	3.36	4.47	4.16	3.6	5.05	6.23	9.5	7.39	8.88	16.84	9.98	8.08	14.5	8.4
C3	0.3	0.79	1.99	1.4	1.44	0.89	1.38	1.72	5.32	4.77	3.22	2.58	2.36	1.09	5.38	0.58
Eif2s2	2.26	2.67	1.18	1.9	1.19	2.88	1.63	2.51	4.64	8.54	2.26	6.81	2.31	4.97	6.45	6.21
Ctsb	8.34	7.24	13.43	13.77	9.83	14.93	8.19	10.66	12.42	30.9	20.17	47.31	26.03	36.21	32.08	27.02
Myl12a	2.92	1.35	4.28	2.85	4.34	3.48	0.83	1.65	5.37	4.66	6.45	16.07	4.93	8.4	9.63	3.84
Gsn	1.75	2.76	1.39	3.46	2.13	2.4	0.62	0.91	4.12	5.47	7.89	7.38	3.07	6.21	3.88	4.26
Apoc3	1.43	1.95	1.94	2.15	2.92	1.8	1.84	2.01	1.18	9.77	1.86	7.85	5.64	8.67	5.83	3.19
Alb	320.45	343.3	364.27	323.25	298.17	355.99	331.14	413.83	615.55	1022.07	803.3	1145.3	1077.31	840.25	1361.81	876.77
Ctsa	0.9	1.12	0.88	0.53	0.52	1.25	0.28	0.96	2.37	1.42	1.86	3.71	2.65	2.07	2.79	1.3
Aldh1a2	0.77	1.16	0.88	0.96	2.39	2.44	1.36	1.54	2.94	2.7	6.93	6.31	2.59	3.76	3.33	4.43
Afp	36.13	34.76	27.86	26.41	31.22	43.23	36.36	36.57	56.28	102.48	60.61	96.51	115.2	104.85	154.77	97.46
Trafd1	0.54	0.13	0.54	0.34	0.37	0.53	0.43	0.39	1.33	1.67	0.71	1.32	0.91	1.2	0.9	1.54
Myh9	1.58	1.62	0.86	1.42	1.8	0.97	1.55	2.42	5.61	2.98	4.31	4.46	4.62	4.17	5.52	4.28
Aida	1.23	0.76	0.56	1.28	0.85	0.72	1.06	0.55	2.84	2.22	3.81	2.45	2.49	2.12	3.48	1.35
Copg1	2.29	1.62	1.37	1.23	3.08	0.48	1.61	1.27	8.78	7.03	2.28	0.77	0.82	7.59	1.9	9.04
Pnp	3.3	3.64	1.86	4.32	2.75	3.17	4.76	4.89	10.38	9.9	12.01	14.36	7.56	10.33	12.22	8.38
Wdr44	0.23	0.15	0.1	0.15	0.18	0.11	0.24	0.27	0.84	0.11	0.05	0.9	0.1	0.19	0.96	1.21
Iqgap1	0.08	0.46	0.16	0.28	0.28	0.17	0.44	0.46	1.15	0.4	1.12	0.47	0.81	1.04	1.09	1
Nt5c3	0.47	0.74	1.18	0.48	0.9	0.39	1.5	1.07	2.46	1.52	5.61	2.04	3.13	1.87	1.32	2.46
Trf	54.25	71.25	51	56.06	61.18	65.33	58.76	70.36	176.77	225.5	160.78	226.24	195.26	120.44	260.41	126.74
Anxa3	1.3	1.73	0.6	0.81	2.01	0.29	1.66	1.36	3.46	3.25	5.3	5.09	1.99	3.55	4.87	2.6
Snap23	1.62	1.98	2.84	2.75	2.24	5.19	0.53	1.12	2.18	6.71	4.25	18.93	3.94	14.37	5.27	2.78
Ahsg	52.82	75.55	99.17	89.02	51.52	67.44	40.03	59.74	155.53	299.13	178.8	303.03	217.44	162.92	256.22	146.09
Cd44	1.78	2.01	3.26	1.84	4.78	1.62	3	1.48	2.18	6.12	6.86	18.64	8.5	6.24	10.08	5.24
Apoe	65.44	49.22	59.02	51.08	68.63	42.73	43.78	55.32	94.72	157.44	163.14	301.47	194.37	185.3	166.5	144.8
Ahnak	0.26	0.34	0.4	0.36	0.23	0.21	0.1	0.25	0.62	0.97	0.63	2.05	0.6	1.06	0.74	0.4
Serpina1b	11.17	6.5	10.85	8.06	11.13	6.89	8.33	9.62	19.72	41.31	13.97	47.24	43.31	22.22	48.82	10.87
Lgmn	2.94	1.48	2.01	2.7	2.43	0.85	1.59	1.02	5.21	3.69	9.21	12.99	3.55	8.57	5.55	2.91
Lamp2	0.72	0.54	1.25	1.81	0.05	0.42	0.93	1.25	2.37	1.62	4.44	4.06	3.46	1.9	3.61	2.78
Apoa1	116.91	98.57	157.82	128.75	107.38	239.11	141.82	133.55	214.61	673.38	382.01	664.51	475.46	505.05	716.51	277.75
Ogfr	3.76	3.96	2.08	1.62	2.09	6.58	0.98	1.19	8.66	4.95	5	9.84	11.16	12.27	9.75	16.16
Serpinf1	0.28	0.41	0.19	0.35	0.66	0.35	0.61	0.32	1.17	1.46	1.58	1.16	2.45	0.67	1.97	1
Hexb	1.01	0.38	0.22	0.52	1.31	0.86	0.65	0.73	0.75	3.25	1.94	3.62	3.8	1.72	2.37	3.58
Lacc1	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.02	0.07	0.09	0.11	0.18	0.13	0.15	0.12	0.11
Epb41l2	0.08	0.26	0.23	0.56	0.23	0.57	0.21	0.1	0.73	1.07	0.65	1.87	1.1	1.69	1.26	0.81
Uap1l1	0.18	0.14	0.11	0.11	0.15	0.11	0.04	0.09	0.18	0.87	0.33	1.06	0.19	0.57	0.76	0.26
Agt	0.79	0.42	0.76	0.64	0.78	0.64	0.84	0.54	2.86	4.15	2.43	4.09	3.3	1.59	4.55	1.72
Cast	0.03	0.17	0.05	0.2	0.19	0.31	0.04	0.37	0.33	0.7	0.24	2.23	0.61	0.81	1.51	0.24
Psme1	18.01	11.15	7.79	9.99	20.32	12.99	13.64	7.33	58.01	48.53	61.4	59.2	68	72.24	73.01	59.49
Serpina1d	2.36	2.4	1.93	6.33	7.12	7.27	7.74	1.82	8.52	30.69	18.98	28.82	30.8	16.39	33.73	18.53
Psme2	4.62	5.47	4.18	4.17	10.34	2.29	6.5	6.95	37.54	18.33	23.89	27.26	23.8	34.58	31.76	31.36
Tomm34	0.1	0.12	0.1	0.24	0.53	0.5	0.94	0.77	3.44	0.52	3.01	0.54	4.17	2.2	2.82	0.75
Lamc1	0.03	0.11	0.07	0.2	0.19	0.09	0.19	0.3	1.08	0.68	0.69	0.32	0.59	1.02	1.1	0.76
Asah1	0.23	0.27	0.22	0.25	0.34	0.22	0.18	0.2	0.59	0.6	0.79	2.54	0.42	2.86	1.97	0.57
Vcam1	1.1	1.43	0.81	0.92	1.83	1.28	0.74	0.98	5.91	4.09	6.93	8.12	4.85	8.18	8.22	5.37
Hrg	0.46	0.29	0.46	0.55	0.09	0.23	0.07	0.21	2.55	1.7	1.21	1.87	1.77	1.28	1.88	1.12
Hmgn2	51.74	45.92	27.22	44.3	30.71	341.59	11.61	20.41	79.18	877.95	66.41	238.44	353.17	575.76	552.74	758.98
Clu	7.19	7.01	5.86	6.92	5.53	5.42	1.74	4.7	12.19	37	21.65	72.56	34.02	34.73	40.94	21.37
Kng1	2.34	2.45	5.89	3.22	2.85	3.67	4.16	3.41	36.43	23.95	16.62	21.47	17.62	14.88	27.17	15.15
Lap3	0.36	0.34	1.02	1.06	0.59	1.39	1.59	1.03	5.04	5.94	6.84	7.21	4.08	6.5	7.46	4.44
Pzp	0.56	0.17	0.98	1.22	0.73	0.88	0.87	0.56	3.44	5.1	3.62	7.36	5.49	3.79	9.53	2.92
Ctsz	3.27	1.47	2.72	1.25	3.81	1.08	3.26	3.4	13.31	19.37	14.97	32.47	16.66	17.93	13.25	16.54
Fn1	0.52	0.46	0.76	0.35	0.44	0.65	0.74	0.93	4.91	5.14	3.85	5.67	4.14	4.53	9.43	2.65
Serpinc1	0.81	0.44	0.39	0.49	1.18	0.62	0.49	0.01	5.71	5.18	2.66	8.24	3.21	4.41	7.31	3.25
Stat3	0.08	0.09	0.13	0.06	0.39	0.05	0.12	0.14	1.44	1.53	0.56	0.29	1.29	1.89	1.45	1.68
Serpina3k	1.09	1.24	2.6	2.43	3.12	3.61	1.99	2.51	19.53	25.39	10.31	33.72	19.57	13.81	43.08	13.1
Vwa5a	0.06	0.04	0.05	0.27	0.3	0.04	0.36	0.4	2.18	1.68	2.19	1.14	2.24	2.34	1.56	1.48
Mdn1	0.02	0.01	0.01	0.01	0.01	0.16	0.02	0.02	0.37	0.33	0.48	0.09	0.43	0.21	0.55	0.16
Fga	1.36	1.3	1.83	1.94	2.29	2	2.02	1.82	31.94	24.36	13.43	19.11	19.93	15.62	25.92	12.9
Fgg	2.11	1.59	3.28	1.04	3.65	1.65	2.85	4.86	55.61	36.65	19.24	32.33	27.96	24.05	41.69	14.91
